Precinct Designation (Permanent),Early Votes,Votes Allowed,SubJurisidction,(Unused),Polling Place Votes,Contest Name,Precinct Name,Vote Total,Choice Name,Referendum Flag,Contest ID,Party Name,Provisional Votes,Polling Place Votes DS200,Early Votes DS200,Choice ID,Precinct ID (Election)
03,000675,01,,,000740,U.S. Senator,CANYON DE CHELLY,001499,"KIRKPATRICK, ANN",,0303,DEM,000084,000000,000000,001,0002
05,000364,01,,,000329,U.S. Senator,CHINLE,000721,"KIRKPATRICK, ANN",,0303,DEM,000028,000000,000000,001,0003
09,000213,01,,,000070,U.S. Senator,CONCHO,000291,"KIRKPATRICK, ANN",,0303,DEM,000008,000000,000000,001,0004
10,000093,01,,,000278,U.S. Senator,CORNFIELDS,000375,"KIRKPATRICK, ANN",,0303,DEM,000004,000000,000000,001,0005
11,000204,01,,,000401,U.S. Senator,COTTONWOOD,000632,"KIRKPATRICK, ANN",,0303,DEM,000027,000000,000000,001,0006
12,000046,01,,,000026,U.S. Senator,CORONADO,000077,"KIRKPATRICK, ANN",,0303,DEM,000005,000000,000000,001,0007
13,000072,01,,,000374,U.S. Senator,DENNEHOTSO,000458,"KIRKPATRICK, ANN",,0303,DEM,000012,000000,000000,001,0008
16,000091,01,,,000043,U.S. Senator,EAGAR,000139,"KIRKPATRICK, ANN",,0303,DEM,000005,000000,000000,001,0009
17,000068,01,,,000035,U.S. Senator,FLAT TOP,000106,"KIRKPATRICK, ANN",,0303,DEM,000003,000000,000000,001,0010
19,000702,01,,,000620,U.S. Senator,FT. DEFIANCE,001403,"KIRKPATRICK, ANN",,0303,DEM,000081,000000,000000,001,0011
22,000130,01,,,000192,U.S. Senator,GANADO NORTH,000338,"KIRKPATRICK, ANN",,0303,DEM,000016,000000,000000,001,0012
23,000189,01,,,000308,U.S. Senator,GANADO SOUTH,000523,"KIRKPATRICK, ANN",,0303,DEM,000026,000000,000000,001,0013
25,000032,01,,,000006,U.S. Senator,GREER,000038,"KIRKPATRICK, ANN",,0303,DEM,000000,000000,000000,001,0014
27,000213,01,,,000239,U.S. Senator,HOUCK,000463,"KIRKPATRICK, ANN",,0303,DEM,000011,000000,000000,001,0015
29,000160,01,,,000347,U.S. Senator,KINLICHEE,000559,"KIRKPATRICK, ANN",,0303,DEM,000052,000000,000000,001,0016
31,000130,01,,,000257,U.S. Senator,KLAGETOH,000419,"KIRKPATRICK, ANN",,0303,DEM,000032,000000,000000,001,0017
33,000191,01,,,000504,U.S. Senator,LUKACHUKAI,000760,"KIRKPATRICK, ANN",,0303,DEM,000065,000000,000000,001,0018
35,000083,01,,,000180,U.S. Senator,LUPTON,000269,"KIRKPATRICK, ANN",,0303,DEM,000006,000000,000000,001,0019
37,000012,01,,,000052,U.S. Senator,MCNARY,000071,"KIRKPATRICK, ANN",,0303,DEM,000007,000000,000000,001,0020
39,000315,01,,,000399,U.S. Senator,MANY FARMS,000767,"KIRKPATRICK, ANN",,0303,DEM,000053,000000,000000,001,0021
41,000024,01,,,000055,U.S. Senator,MEXICAN WATER,000084,"KIRKPATRICK, ANN",,0303,DEM,000005,000000,000000,001,0022
43,000206,01,,,000235,U.S. Senator,NAZLINI,000465,"KIRKPATRICK, ANN",,0303,DEM,000024,000000,000000,001,0023
45,000047,01,,,000012,U.S. Senator,NUTRIOSO,000062,"KIRKPATRICK, ANN",,0303,DEM,000003,000000,000000,001,0024
46,000105,01,,,000140,U.S. Senator,OAK SPRINGS,000249,"KIRKPATRICK, ANN",,0303,DEM,000004,000000,000000,001,0025
48,000230,01,T,,000286,U.S. Senator,PUERCO EAST & 49 PUERCO WES,000556,"KIRKPATRICK, ANN",,0303,DEM,000040,000000,000000,001,0026
51,000027,01,,,000062,U.S. Senator,RED MESA,000096,"KIRKPATRICK, ANN",,0303,DEM,000007,000000,000000,001,0027
52,000058,01,,,000191,U.S. Senator,RED VALLEY,000259,"KIRKPATRICK, ANN",,0303,DEM,000010,000000,000000,001,0028
54,000119,01,,,000411,U.S. Senator,ROCK POINT,000581,"KIRKPATRICK, ANN",,0303,DEM,000051,000000,000000,001,0029
56,000117,01,,,000264,U.S. Senator,ROUGH ROCK,000403,"KIRKPATRICK, ANN",,0303,DEM,000022,000000,000000,001,0030
58,000095,01,,,000312,U.S. Senator,ROUND ROCK,000435,"KIRKPATRICK, ANN",,0303,DEM,000028,000000,000000,001,0031
59,000056,01,,,000023,U.S. Senator,ROUND VALLEY,000083,"KIRKPATRICK, ANN",,0303,DEM,000004,000000,000000,001,0032
61,000157,01,,,000077,U.S. Senator,ST. JOHNS,000241,"KIRKPATRICK, ANN",,0303,DEM,000007,000000,000000,001,0033
65,000390,01,,,000427,U.S. Senator,ST. MICHAELS,000879,"KIRKPATRICK, ANN",,0303,DEM,000062,000000,000000,001,0034
67,000136,01,,,000217,U.S. Senator,SAWMILL,000373,"KIRKPATRICK, ANN",,0303,DEM,000020,000000,000000,001,0035
70,000115,01,,,000048,U.S. Senator,SPRINGERVILLE,000166,"KIRKPATRICK, ANN",,0303,DEM,000003,000000,000000,001,0036
74,000250,01,,,000379,U.S. Senator,STEAMBOAT,000664,"KIRKPATRICK, ANN",,0303,DEM,000035,000000,000000,001,0037
76,000073,01,,,000165,U.S. Senator,SWEETWATER,000243,"KIRKPATRICK, ANN",,0303,DEM,000005,000000,000000,001,0038
78,000078,01,,,000171,U.S. Senator,TACHEE,000261,"KIRKPATRICK, ANN",,0303,DEM,000012,000000,000000,001,0039
80,000075,01,,,000205,U.S. Senator,TEEC NOS POS,000300,"KIRKPATRICK, ANN",,0303,DEM,000020,000000,000000,001,0040
82,000179,01,,,000036,U.S. Senator,VERNON,000220,"KIRKPATRICK, ANN",,0303,DEM,000005,000000,000000,001,0041
84,000221,01,,,000458,U.S. Senator,WHEATFIELDS,000723,"KIRKPATRICK, ANN",,0303,DEM,000044,000000,000000,001,0042
86,000131,01,,,000221,U.S. Senator,WIDE RUINS,000366,"KIRKPATRICK, ANN",,0303,DEM,000014,000000,000000,001,0043
88,000432,01,,,000305,U.S. Senator,WINDOW ROCK,000764,"KIRKPATRICK, ANN",,0303,DEM,000027,000000,000000,001,0044
02,000142,01,,,000050,U.S. Senator,ALPINE,000196,"MCCAIN, JOHN",,0303,REP,000004,000000,000000,002,0001
03,000078,01,,,000094,U.S. Senator,CANYON DE CHELLY,000188,"MCCAIN, JOHN",,0303,REP,000016,000000,000000,002,0002
05,000066,01,,,000051,U.S. Senator,CHINLE,000127,"MCCAIN, JOHN",,0303,REP,000010,000000,000000,002,0003
09,000586,01,,,000225,U.S. Senator,CONCHO,000836,"MCCAIN, JOHN",,0303,REP,000025,000000,000000,002,0004
10,000011,01,,,000025,U.S. Senator,CORNFIELDS,000037,"MCCAIN, JOHN",,0303,REP,000001,000000,000000,002,0005
11,000025,01,,,000058,U.S. Senator,COTTONWOOD,000084,"MCCAIN, JOHN",,0303,REP,000001,000000,000000,002,0006
12,000296,01,,,000216,U.S. Senator,CORONADO,000527,"MCCAIN, JOHN",,0303,REP,000015,000000,000000,002,0007
13,000008,01,,,000048,U.S. Senator,DENNEHOTSO,000060,"MCCAIN, JOHN",,0303,REP,000004,000000,000000,002,0008
16,000454,01,,,000222,U.S. Senator,EAGAR,000704,"MCCAIN, JOHN",,0303,REP,000028,000000,000000,002,0009
17,000291,01,,,000180,U.S. Senator,FLAT TOP,000483,"MCCAIN, JOHN",,0303,REP,000012,000000,000000,002,0010
19,000123,01,,,000141,U.S. Senator,FT. DEFIANCE,000282,"MCCAIN, JOHN",,0303,REP,000018,000000,000000,002,0011
22,000016,01,,,000027,U.S. Senator,GANADO NORTH,000046,"MCCAIN, JOHN",,0303,REP,000003,000000,000000,002,0012
23,000022,01,,,000042,U.S. Senator,GANADO SOUTH,000069,"MCCAIN, JOHN",,0303,REP,000005,000000,000000,002,0013
25,000055,01,,,000021,U.S. Senator,GREER,000076,"MCCAIN, JOHN",,0303,REP,000000,000000,000000,002,0014
27,000033,01,,,000069,U.S. Senator,HOUCK,000106,"MCCAIN, JOHN",,0303,REP,000004,000000,000000,002,0015
29,000013,01,,,000038,U.S. Senator,KINLICHEE,000061,"MCCAIN, JOHN",,0303,REP,000010,000000,000000,002,0016
31,000022,01,,,000035,U.S. Senator,KLAGETOH,000064,"MCCAIN, JOHN",,0303,REP,000007,000000,000000,002,0017
33,000011,01,,,000054,U.S. Senator,LUKACHUKAI,000078,"MCCAIN, JOHN",,0303,REP,000013,000000,000000,002,0018
35,000011,01,,,000047,U.S. Senator,LUPTON,000061,"MCCAIN, JOHN",,0303,REP,000003,000000,000000,002,0019
37,000003,01,,,000009,U.S. Senator,MCNARY,000012,"MCCAIN, JOHN",,0303,REP,000000,000000,000000,002,0020
39,000026,01,,,000048,U.S. Senator,MANY FARMS,000076,"MCCAIN, JOHN",,0303,REP,000002,000000,000000,002,0021
41,000004,01,,,000016,U.S. Senator,MEXICAN WATER,000022,"MCCAIN, JOHN",,0303,REP,000002,000000,000000,002,0022
43,000014,01,,,000033,U.S. Senator,NAZLINI,000048,"MCCAIN, JOHN",,0303,REP,000001,000000,000000,002,0023
45,000156,01,,,000037,U.S. Senator,NUTRIOSO,000194,"MCCAIN, JOHN",,0303,REP,000001,000000,000000,002,0024
46,000011,01,,,000009,U.S. Senator,OAK SPRINGS,000023,"MCCAIN, JOHN",,0303,REP,000003,000000,000000,002,0025
48,000083,01,T,,000082,U.S. Senator,PUERCO EAST & 49 PUERCO WES,000184,"MCCAIN, JOHN",,0303,REP,000019,000000,000000,002,0026
51,000005,01,,,000015,U.S. Senator,RED MESA,000023,"MCCAIN, JOHN",,0303,REP,000003,000000,000000,002,0027
52,000028,01,,,000086,U.S. Senator,RED VALLEY,000120,"MCCAIN, JOHN",,0303,REP,000006,000000,000000,002,0028
54,000016,01,,,000046,U.S. Senator,ROCK POINT,000069,"MCCAIN, JOHN",,0303,REP,000007,000000,000000,002,0029
56,000012,01,,,000015,U.S. Senator,ROUGH ROCK,000030,"MCCAIN, JOHN",,0303,REP,000003,000000,000000,002,0030
58,000006,01,,,000029,U.S. Senator,ROUND ROCK,000039,"MCCAIN, JOHN",,0303,REP,000004,000000,000000,002,0031
59,000218,01,,,000160,U.S. Senator,ROUND VALLEY,000398,"MCCAIN, JOHN",,0303,REP,000020,000000,000000,002,0032
61,000373,01,,,000243,U.S. Senator,ST. JOHNS,000635,"MCCAIN, JOHN",,0303,REP,000019,000000,000000,002,0033
65,000068,01,,,000099,U.S. Senator,ST. MICHAELS,000185,"MCCAIN, JOHN",,0303,REP,000018,000000,000000,002,0034
67,000009,01,,,000038,U.S. Senator,SAWMILL,000051,"MCCAIN, JOHN",,0303,REP,000004,000000,000000,002,0035
70,000267,01,,,000178,U.S. Senator,SPRINGERVILLE,000472,"MCCAIN, JOHN",,0303,REP,000027,000000,000000,002,0036
74,000017,01,,,000026,U.S. Senator,STEAMBOAT,000048,"MCCAIN, JOHN",,0303,REP,000005,000000,000000,002,0037
76,000018,01,,,000070,U.S. Senator,SWEETWATER,000088,"MCCAIN, JOHN",,0303,REP,000000,000000,000000,002,0038
78,000011,01,,,000019,U.S. Senator,TACHEE,000032,"MCCAIN, JOHN",,0303,REP,000002,000000,000000,002,0039
80,000028,01,,,000065,U.S. Senator,TEEC NOS POS,000098,"MCCAIN, JOHN",,0303,REP,000005,000000,000000,002,0040
82,000500,01,,,000179,U.S. Senator,VERNON,000705,"MCCAIN, JOHN",,0303,REP,000026,000000,000000,002,0041
84,000026,01,,,000057,U.S. Senator,WHEATFIELDS,000090,"MCCAIN, JOHN",,0303,REP,000007,000000,000000,002,0042
86,000013,01,,,000025,U.S. Senator,WIDE RUINS,000039,"MCCAIN, JOHN",,0303,REP,000001,000000,000000,002,0043
88,000084,01,,,000081,U.S. Senator,WINDOW ROCK,000178,"MCCAIN, JOHN",,0303,REP,000013,000000,000000,002,0044
02,000010,01,,,000011,U.S. Senator,ALPINE,000022,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0001
03,000020,01,,,000021,U.S. Senator,CANYON DE CHELLY,000045,"SWING, GARY",,0303,GRN,000004,000000,000000,003,0002
05,000011,01,,,000012,U.S. Senator,CHINLE,000024,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0003
09,000132,01,,,000053,U.S. Senator,CONCHO,000195,"SWING, GARY",,0303,GRN,000010,000000,000000,003,0004
10,000002,01,,,000003,U.S. Senator,CORNFIELDS,000005,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0005
11,000003,01,,,000005,U.S. Senator,COTTONWOOD,000010,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0006
12,000029,01,,,000016,U.S. Senator,CORONADO,000049,"SWING, GARY",,0303,GRN,000004,000000,000000,003,0007
13,000000,01,,,000003,U.S. Senator,DENNEHOTSO,000003,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0008
16,000045,01,,,000030,U.S. Senator,EAGAR,000075,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0009
17,000029,01,,,000026,U.S. Senator,FLAT TOP,000058,"SWING, GARY",,0303,GRN,000003,000000,000000,003,0010
19,000027,01,,,000039,U.S. Senator,FT. DEFIANCE,000073,"SWING, GARY",,0303,GRN,000007,000000,000000,003,0011
22,000006,01,,,000001,U.S. Senator,GANADO NORTH,000007,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0012
23,000005,01,,,000007,U.S. Senator,GANADO SOUTH,000013,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0013
25,000004,01,,,000002,U.S. Senator,GREER,000006,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0014
27,000012,01,,,000012,U.S. Senator,HOUCK,000026,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0015
29,000002,01,,,000005,U.S. Senator,KINLICHEE,000011,"SWING, GARY",,0303,GRN,000004,000000,000000,003,0016
31,000006,01,,,000004,U.S. Senator,KLAGETOH,000012,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0017
33,000010,01,,,000014,U.S. Senator,LUKACHUKAI,000025,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0018
35,000003,01,,,000010,U.S. Senator,LUPTON,000013,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0019
37,000001,01,,,000003,U.S. Senator,MCNARY,000004,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0020
39,000010,01,,,000007,U.S. Senator,MANY FARMS,000019,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0021
41,000000,01,,,000001,U.S. Senator,MEXICAN WATER,000001,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0022
43,000005,01,,,000012,U.S. Senator,NAZLINI,000017,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0023
45,000017,01,,,000002,U.S. Senator,NUTRIOSO,000020,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0024
46,000007,01,,,000003,U.S. Senator,OAK SPRINGS,000011,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0025
48,000028,01,T,,000020,U.S. Senator,PUERCO EAST & 49 PUERCO WES,000051,"SWING, GARY",,0303,GRN,000003,000000,000000,003,0026
51,000000,01,,,000005,U.S. Senator,RED MESA,000006,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0027
52,000004,01,,,000017,U.S. Senator,RED VALLEY,000022,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0028
54,000000,01,,,000005,U.S. Senator,ROCK POINT,000007,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0029
56,000002,01,,,000003,U.S. Senator,ROUGH ROCK,000005,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0030
58,000000,01,,,000007,U.S. Senator,ROUND ROCK,000008,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0031
59,000035,01,,,000016,U.S. Senator,ROUND VALLEY,000052,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0032
61,000062,01,,,000031,U.S. Senator,ST. JOHNS,000101,"SWING, GARY",,0303,GRN,000008,000000,000000,003,0033
65,000018,01,,,000023,U.S. Senator,ST. MICHAELS,000045,"SWING, GARY",,0303,GRN,000004,000000,000000,003,0034
67,000007,01,,,000013,U.S. Senator,SAWMILL,000023,"SWING, GARY",,0303,GRN,000003,000000,000000,003,0035
70,000027,01,,,000019,U.S. Senator,SPRINGERVILLE,000048,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0036
74,000002,01,,,000009,U.S. Senator,STEAMBOAT,000011,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0037
76,000001,01,,,000007,U.S. Senator,SWEETWATER,000008,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0038
78,000000,01,,,000002,U.S. Senator,TACHEE,000002,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0039
80,000004,01,,,000006,U.S. Senator,TEEC NOS POS,000012,"SWING, GARY",,0303,GRN,000002,000000,000000,003,0040
82,000075,01,,,000021,U.S. Senator,VERNON,000097,"SWING, GARY",,0303,GRN,000001,000000,000000,003,0041
84,000008,01,,,000018,U.S. Senator,WHEATFIELDS,000026,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0042
86,000002,01,,,000005,U.S. Senator,WIDE RUINS,000007,"SWING, GARY",,0303,GRN,000000,000000,000000,003,0043
88,000022,01,,,000012,U.S. Senator,WINDOW ROCK,000037,"SWING, GARY",,0303,GRN,000003,000000,000000,003,0044
02,000005,01,,,000000,U.S. Senator,ALPINE,000005,WRITE-IN,,0303,NON,000000,000000,000000,004,0001
03,000002,01,,,000002,U.S. Senator,CANYON DE CHELLY,000004,WRITE-IN,,0303,NON,000000,000000,000000,004,0002
05,000000,01,,,000000,U.S. Senator,CHINLE,000001,WRITE-IN,,0303,NON,000001,000000,000000,004,0003
09,000031,01,,,000009,U.S. Senator,CONCHO,000042,WRITE-IN,,0303,NON,000002,000000,000000,004,0004
10,000001,01,,,000000,U.S. Senator,CORNFIELDS,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0005
11,000000,01,,,000001,U.S. Senator,COTTONWOOD,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0006
12,000003,01,,,000002,U.S. Senator,CORONADO,000005,WRITE-IN,,0303,NON,000000,000000,000000,004,0007
13,000000,01,,,000000,U.S. Senator,DENNEHOTSO,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0008
16,000005,01,,,000001,U.S. Senator,EAGAR,000006,WRITE-IN,,0303,NON,000000,000000,000000,004,0009
17,000003,01,,,000003,U.S. Senator,FLAT TOP,000006,WRITE-IN,,0303,NON,000000,000000,000000,004,0010
19,000001,01,,,000008,U.S. Senator,FT. DEFIANCE,000009,WRITE-IN,,0303,NON,000000,000000,000000,004,0011
22,000000,01,,,000003,U.S. Senator,GANADO NORTH,000003,WRITE-IN,,0303,NON,000000,000000,000000,004,0012
23,000007,01,,,000004,U.S. Senator,GANADO SOUTH,000011,WRITE-IN,,0303,NON,000000,000000,000000,004,0013
25,000000,01,,,000000,U.S. Senator,GREER,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0014
27,000000,01,,,000000,U.S. Senator,HOUCK,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0015
29,000000,01,,,000000,U.S. Senator,KINLICHEE,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0016
31,000000,01,,,000000,U.S. Senator,KLAGETOH,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0017
33,000000,01,,,000000,U.S. Senator,LUKACHUKAI,000001,WRITE-IN,,0303,NON,000001,000000,000000,004,0018
35,000001,01,,,000001,U.S. Senator,LUPTON,000002,WRITE-IN,,0303,NON,000000,000000,000000,004,0019
37,000000,01,,,000000,U.S. Senator,MCNARY,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0020
39,000000,01,,,000001,U.S. Senator,MANY FARMS,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0021
41,000000,01,,,000000,U.S. Senator,MEXICAN WATER,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0022
43,000002,01,,,000000,U.S. Senator,NAZLINI,000002,WRITE-IN,,0303,NON,000000,000000,000000,004,0023
45,000002,01,,,000000,U.S. Senator,NUTRIOSO,000002,WRITE-IN,,0303,NON,000000,000000,000000,004,0024
46,000000,01,,,000001,U.S. Senator,OAK SPRINGS,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0025
48,000003,01,T,,000000,U.S. Senator,PUERCO EAST & 49 PUERCO WES,000003,WRITE-IN,,0303,NON,000000,000000,000000,004,0026
51,000000,01,,,000000,U.S. Senator,RED MESA,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0027
52,000000,01,,,000000,U.S. Senator,RED VALLEY,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0028
54,000000,01,,,000001,U.S. Senator,ROCK POINT,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0029
56,000000,01,,,000000,U.S. Senator,ROUGH ROCK,000001,WRITE-IN,,0303,NON,000001,000000,000000,004,0030
58,000000,01,,,000000,U.S. Senator,ROUND ROCK,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0031
59,000007,01,,,000001,U.S. Senator,ROUND VALLEY,000008,WRITE-IN,,0303,NON,000000,000000,000000,004,0032
61,000006,01,,,000005,U.S. Senator,ST. JOHNS,000011,WRITE-IN,,0303,NON,000000,000000,000000,004,0033
65,000000,01,,,000004,U.S. Senator,ST. MICHAELS,000004,WRITE-IN,,0303,NON,000000,000000,000000,004,0034
67,000000,01,,,000001,U.S. Senator,SAWMILL,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0035
70,000005,01,,,000001,U.S. Senator,SPRINGERVILLE,000006,WRITE-IN,,0303,NON,000000,000000,000000,004,0036
74,000001,01,,,000000,U.S. Senator,STEAMBOAT,000001,WRITE-IN,,0303,NON,000000,000000,000000,004,0037
76,000000,01,,,000000,U.S. Senator,SWEETWATER,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0038
78,000000,01,,,000000,U.S. Senator,TACHEE,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0039
80,000000,01,,,000000,U.S. Senator,TEEC NOS POS,000000,WRITE-IN,,0303,NON,000000,000000,000000,004,0040
82,000015,01,,,000003,U.S. Senator,VERNON,000019,WRITE-IN,,0303,NON,000001,000000,000000,004,0041
84,000001,01,,,000000,U.S. Senator,WHEATFIELDS,000002,WRITE-IN,,0303,NON,000001,000000,000000,004,0042
86,000001,01,,,000001,U.S. Senator,WIDE RUINS,000002,WRITE-IN,,0303,NON,000000,000000,000000,004,0043
88,000001,01,,,000001,U.S. Senator,WINDOW ROCK,000002,WRITE-IN,,0303,NON,000000,000000,000000,004,0044
02,000000,01,,,000001,U.S. Senator,ALPINE,000001,OVER VOTES,,0303,,000000,000000,000000,005,0001
03,000000,01,,,000001,U.S. Senator,CANYON DE CHELLY,000001,OVER VOTES,,0303,,000000,000000,000000,005,0002
05,000001,01,,,000000,U.S. Senator,CHINLE,000001,OVER VOTES,,0303,,000000,000000,000000,005,0003
09,000000,01,,,000001,U.S. Senator,CONCHO,000001,OVER VOTES,,0303,,000000,000000,000000,005,0004
10,000000,01,,,000001,U.S. Senator,CORNFIELDS,000001,OVER VOTES,,0303,,000000,000000,000000,005,0005
11,000000,01,,,000000,U.S. Senator,COTTONWOOD,000000,OVER VOTES,,0303,,000000,000000,000000,005,0006
12,000000,01,,,000000,U.S. Senator,CORONADO,000000,OVER VOTES,,0303,,000000,000000,000000,005,0007
13,000001,01,,,000000,U.S. Senator,DENNEHOTSO,000001,OVER VOTES,,0303,,000000,000000,000000,005,0008
16,000000,01,,,000000,U.S. Senator,EAGAR,000000,OVER VOTES,,0303,,000000,000000,000000,005,0009
17,000000,01,,,000000,U.S. Senator,FLAT TOP,000000,OVER VOTES,,0303,,000000,000000,000000,005,0010
19,000000,01,,,000000,U.S. Senator,FT. DEFIANCE,000000,OVER VOTES,,0303,,000000,000000,000000,005,0011
22,000000,01,,,000000,U.S. Senator,GANADO NORTH,000000,OVER VOTES,,0303,,000000,000000,000000,005,0012
23,000001,01,,,000000,U.S. Senator,GANADO SOUTH,000001,OVER VOTES,,0303,,000000,000000,000000,005,0013
25,000000,01,,,000000,U.S. Senator,GREER,000000,OVER VOTES,,0303,,000000,000000,000000,005,0014
27,000000,01,,,000000,U.S. Senator,HOUCK,000000,OVER VOTES,,0303,,000000,000000,000000,005,0015
29,000000,01,,,000000,U.S. Senator,KINLICHEE,000000,OVER VOTES,,0303,,000000,000000,000000,005,0016
31,000000,01,,,000000,U.S. Senator,KLAGETOH,000000,OVER VOTES,,0303,,000000,000000,000000,005,0017
33,000000,01,,,000001,U.S. Senator,LUKACHUKAI,000001,OVER VOTES,,0303,,000000,000000,000000,005,0018
35,000000,01,,,000001,U.S. Senator,LUPTON,000001,OVER VOTES,,0303,,000000,000000,000000,005,0019
37,000000,01,,,000000,U.S. Senator,MCNARY,000000,OVER VOTES,,0303,,000000,000000,000000,005,0020
39,000000,01,,,000001,U.S. Senator,MANY FARMS,000001,OVER VOTES,,0303,,000000,000000,000000,005,0021
41,000000,01,,,000000,U.S. Senator,MEXICAN WATER,000000,OVER VOTES,,0303,,000000,000000,000000,005,0022
43,000000,01,,,000000,U.S. Senator,NAZLINI,000000,OVER VOTES,,0303,,000000,000000,000000,005,0023
45,000001,01,,,000000,U.S. Senator,NUTRIOSO,000001,OVER VOTES,,0303,,000000,000000,000000,005,0024
46,000000,01,,,000000,U.S. Senator,OAK SPRINGS,000000,OVER VOTES,,0303,,000000,000000,000000,005,0025
48,000000,01,T,,000001,U.S. Senator,PUERCO EAST & 49 PUERCO WES,000001,OVER VOTES,,0303,,000000,000000,000000,005,0026
51,000000,01,,,000000,U.S. Senator,RED MESA,000000,OVER VOTES,,0303,,000000,000000,000000,005,0027
52,000000,01,,,000000,U.S. Senator,RED VALLEY,000000,OVER VOTES,,0303,,000000,000000,000000,005,0028
54,000000,01,,,000001,U.S. Senator,ROCK POINT,000001,OVER VOTES,,0303,,000000,000000,000000,005,0029
56,000000,01,,,000000,U.S. Senator,ROUGH ROCK,000000,OVER VOTES,,0303,,000000,000000,000000,005,0030
58,000000,01,,,000000,U.S. Senator,ROUND ROCK,000000,OVER VOTES,,0303,,000000,000000,000000,005,0031
59,000000,01,,,000000,U.S. Senator,ROUND VALLEY,000000,OVER VOTES,,0303,,000000,000000,000000,005,0032
61,000000,01,,,000000,U.S. Senator,ST. JOHNS,000000,OVER VOTES,,0303,,000000,000000,000000,005,0033
65,000000,01,,,000000,U.S. Senator,ST. MICHAELS,000000,OVER VOTES,,0303,,000000,000000,000000,005,0034
67,000000,01,,,000000,U.S. Senator,SAWMILL,000000,OVER VOTES,,0303,,000000,000000,000000,005,0035
70,000000,01,,,000001,U.S. Senator,SPRINGERVILLE,000001,OVER VOTES,,0303,,000000,000000,000000,005,0036
74,000000,01,,,000001,U.S. Senator,STEAMBOAT,000002,OVER VOTES,,0303,,000001,000000,000000,005,0037
76,000000,01,,,000000,U.S. Senator,SWEETWATER,000000,OVER VOTES,,0303,,000000,000000,000000,005,0038
78,000000,01,,,000000,U.S. Senator,TACHEE,000000,OVER VOTES,,0303,,000000,000000,000000,005,0039
80,000000,01,,,000000,U.S. Senator,TEEC NOS POS,000000,OVER VOTES,,0303,,000000,000000,000000,005,0040
82,000000,01,,,000000,U.S. Senator,VERNON,000000,OVER VOTES,,0303,,000000,000000,000000,005,0041
84,000000,01,,,000002,U.S. Senator,WHEATFIELDS,000002,OVER VOTES,,0303,,000000,000000,000000,005,0042
86,000000,01,,,000000,U.S. Senator,WIDE RUINS,000000,OVER VOTES,,0303,,000000,000000,000000,005,0043
88,000000,01,,,000001,U.S. Senator,WINDOW ROCK,000001,OVER VOTES,,0303,,000000,000000,000000,005,0044
